-
Y24D9A.8,enol-1,509608,507646,Y24D9A.8a.2,T21B10.2c.1,0.000,0.000,0.000,0.000,0.201,0.000,0.800,0.145,0.844
pgk-1,tkt-1,506343,498291,T03F1.3,F01G10.1.2,0.472,0.000,0.000,0.000,0.816,0.000,0.400,0.351,0.954
tkt-1,C50D2.7,498291,497431,F01G10.1.2,C50D2.7.1,0.000,0.000,0.000,0.000,0.000,0.000,0.800,0.000,0.800
vha-12,ost-1,499558,496977,F20B6.2.1,C44B12.2,0.000,0.000,0.000,0.000,0.552,0.000,0.000,0.000,0.553
ugt-13,C30G12.2,503664,496161,H23N18.1,C30G12.2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.512,0.512
Y56A3A.18,ula-1,511325,495899,Y56A3A.18,C26E6.8.2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.616,0.616
mes-4,D2096.8,509656,498077,Y2H9A.1,D2096.8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.447,0.447
pgk-1,C50F4.2,506343,497477,T03F1.3,C50F4.2,0.092,0.000,0.000,0.000,0.208,0.000,0.000,0.594,0.667
ugt-13,F17A9.4,503664,499359,H23N18.1,F17A9.4,0.000,0.000,0.000,0.000,0.107,0.000,0.000,0.691,0.705
T01C8.5,pcca-1,506174,500182,T01C8.5,F27D9.5,0.000,0.000,0.000,0.000,0.214,0.081,0.580,0.127,0.678
T22B7.7,ugt-43,507756,498254,T22B7.7,F01D4.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.766,0.766
Y24D9A.8,F09E5.3,509608,498641,Y24D9A.8a.2,F09E5.3.2,0.000,0.000,0.000,0.000,0.124,0.000,0.900,0.102,0.910
gpi-1,Y71H10A.1,512335,511960,Y87G2A.8b.2,Y71H10A.1a,0.231,0.000,0.000,0.000,0.400,0.220,0.973,0.480,0.993
ugt-53,C30G12.2,506313,496161,T03D3.1,C30G12.2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.453,0.452
Y43F4B.5,pgk-1,510309,506343,Y43F4B.5a.2,T03F1.3,0.137,0.000,0.000,0.000,0.247,0.000,0.000,0.200,0.408
aldo-1,gpd-2,506555,504647,T05D4.1.2,K10B3.8.1,0.200,0.000,0.000,0.000,0.501,0.097,0.958,0.275,0.985
pyk-2,aldo-1,513226,506555,ZK593.1,T05D4.1.2,0.000,0.000,0.000,0.000,0.191,0.000,0.800,0.293,0.869
asb-2,sdha-1,498343,494251,F02E8.1.2,C03G5.1.1,0.000,0.000,0.000,0.000,0.638,0.000,0.000,0.000,0.639
apl-1,daf-7,496926,493821,C42D8.8a,B0412.2,0.000,0.000,0.000,0.000,0.108,0.084,0.900,0.000,0.907
aldo-2,C50F4.2,498278,497477,F01F1.12a,C50F4.2,0.000,0.000,0.000,0.000,0.204,0.000,0.961,0.170,0.970
pyk-2,C50F4.2,513226,497477,ZK593.1,C50F4.2,0.357,0.000,0.000,0.000,0.328,0.000,0.000,0.587,0.797
T01C8.5,gas-1,506174,504532,T01C8.5,K09A9.5,0.000,0.000,0.000,0.000,0.477,0.000,0.000,0.000,0.477
aldo-1,pgk-1,506555,506343,T05D4.1.2,T03F1.3,0.304,0.000,0.000,0.000,0.252,0.082,0.000,0.324,0.608
dhs-26,T22B7.7,513445,507756,ZK816.5,T22B7.7,0.000,0.000,0.000,0.000,0.640,0.000,0.000,0.843,0.939
