-
Art1,Hel25E,629741,627811,FBpp0081780,FBpp0078754,0.000,0.000,0.000,0.000,0.968,0.000,0.000,0.069,0.968
His2Av,hoip,631377,628237,FBpp0084434,FBpp0079443,0.000,0.000,0.000,0.000,0.783,0.173,0.000,0.000,0.809
Cct5,CG6719,632951,629813,FBpp0087095,FBpp0081882,0.000,0.000,0.000,0.000,0.531,0.082,0.900,0.000,0.951
icln,NHP2,632312,625810,FBpp0086010,FBpp0075448,0.000,0.000,0.000,0.000,0.586,0.000,0.000,0.000,0.586
CG8928,Top1,624877,624802,FBpp0073937,FBpp0073822,0.000,0.000,0.000,0.000,0.121,0.367,0.000,0.000,0.406
REG,CG3527,624639,622826,FBpp0073561,FBpp0070646,0.000,0.000,0.000,0.000,0.472,0.000,0.000,0.000,0.472
Nlp,CG11267,631667,625912,FBpp0084918,FBpp0075609,0.000,0.000,0.000,0.000,0.505,0.271,0.000,0.000,0.615
Nlp,Set,631667,630199,FBpp0084918,FBpp0082521,0.000,0.000,0.000,0.000,0.993,0.000,0.000,0.066,0.993
Set,e(r),630199,623188,FBpp0082521,FBpp0071210,0.000,0.000,0.000,0.000,0.848,0.000,0.000,0.120,0.857
mtSSB,baf,634173,628056,FBpp0099503,FBpp0079157,0.000,0.000,0.000,0.000,0.705,0.000,0.000,0.000,0.704
CG4866,CG11920,636470,631195,FBpp0289829,FBpp0084144,0.000,0.000,0.000,0.000,0.844,0.760,0.000,0.508,0.979
Rpb11,Su(var)205,628971,628114,FBpp0080564,FBpp0079251,0.000,0.000,0.000,0.000,0.434,0.000,0.000,0.000,0.434
Nlp,mago,631667,623376,FBpp0084918,FBpp0071497,0.000,0.000,0.000,0.000,0.963,0.000,0.000,0.000,0.963
CG4866,CG11583,636470,624343,FBpp0289829,FBpp0073098,0.000,0.000,0.000,0.000,0.868,0.000,0.000,0.000,0.868
CG6764,snRNP2,629810,629403,FBpp0081879,FBpp0081234,0.000,0.000,0.000,0.000,0.517,0.000,0.000,0.000,0.517
U2af50,snf,624918,622872,FBpp0074013,FBpp0070716,0.000,0.000,0.000,0.000,0.464,0.494,0.939,0.271,0.985
