-
mdt-22,F48C1.5,513562,502046,ZK970.3,F48C1.5,0.000,0.000,0.000,0.000,0.442,0.000,0.000,0.000,0.441
Y73F8A.27,Y45F10D.4,512124,510413,Y73F8A.27,Y45F10D.4,0.384,0.000,0.000,0.000,0.125,0.176,0.000,0.620,0.795
F45H11.5,F43G9.13,501782,501573,F45H11.5,F43G9.13.2,0.000,0.000,0.000,0.000,0.409,0.000,0.000,0.000,0.408
ucr-1,isp-1,502931,501488,F56D2.1.1,F42G8.12.2,0.000,0.000,0.000,0.000,0.553,0.568,0.741,0.348,0.960
ucr-1,F43G9.1,502931,501569,F56D2.1.1,F43G9.1.2,0.000,0.000,0.000,0.000,0.629,0.000,0.000,0.128,0.655
Y74C10AL.2,Y62E10A.6,512136,511603,Y74C10AL.2,Y62E10A.6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.760,0.760
frh-1,sdha-1,503451,494251,F59G1.7.2,C03G5.1.1,0.000,0.000,0.000,0.000,0.000,0.384,0.000,0.145,0.438
aco-1,B0205.6,513145,493550,ZK455.1.1,B0205.6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.407,0.407
mev-1,F27D4.1,506763,500171,T07C4.7.2,F27D4.1,0.000,0.000,0.000,0.000,0.441,0.000,0.000,0.000,0.441
isp-1,atp-2,501488,496479,F42G8.12.2,C34E10.6.3,0.000,0.000,0.000,0.000,0.668,0.000,0.000,0.296,0.751
R10D12.12,F42A9.8,505786,501443,R10D12.12,F42A9.8,0.000,0.000,0.000,0.000,0.820,0.000,0.000,0.000,0.819
dnj-21,ucr-1,507480,502931,T19B4.4,F56D2.1.1,0.000,0.000,0.000,0.000,0.077,0.530,0.900,0.000,0.950
rba-1,aos-1,504252,494752,K07A1.11,C08B6.9,0.000,0.000,0.000,0.000,0.768,0.000,0.000,0.000,0.769
Y74C10AL.2,Y39B6A.3,512136,510050,Y74C10AL.2,Y39B6A.3b,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.740,0.740
cco-1,atp-2,500089,496479,F26E4.9.1,C34E10.6.3,0.000,0.000,0.000,0.000,0.625,0.000,0.000,0.250,0.700
nuo-2,F36A2.8,507079,500836,T10E9.7a,F36A2.8,0.000,0.000,0.000,0.000,0.207,0.000,0.760,0.000,0.796
Y39B6A.3,F39H2.3,510050,501185,Y39B6A.3b,F39H2.3.1,0.000,0.000,0.000,0.000,0.000,0.384,0.000,0.713,0.811
R10E11.2.1,rba-1,505799,504252,R10E11.2.1,K07A1.11,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.512,0.512
W02B12.9,K07G5.6,508500,504365,W02B12.9,K07G5.6.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.408,0.408
ZK20.4,frh-1,512994,503451,ZK20.4a.1,F59G1.7.2,0.000,0.000,0.000,0.000,0.431,0.000,0.000,0.000,0.430
Y54E10A.5,D1007.4,511110,497863,Y54E10A.5.1,D1007.4,0.000,0.000,0.000,0.000,0.401,0.000,0.000,0.000,0.401
